studentId,class
1,4P
2,6Y
3,7Z
4,9E
5,11Z
6,7P
7,10L
8,1L
9,9L
10,9A
11,5L
12,10H
13,1L
14,2O
15,8N
16,7E
17,5I
18,4F
19,5X
20,7N
21,1Q
22,12D
23,1L
24,6C
25,2H
26,1D
27,1W
28,2E
29,4T
30,6R
31,3E
32,12S
33,6S
34,2K
35,12W
36,2K
37,9E
38,7V
39,8J
40,9T
41,12R
42,10V
43,10R
44,4T
45,10U
46,11O
47,3D
48,2H
49,11B
50,12Q
51,2O
52,5N
53,6Z
54,3Q
55,8E
56,9S
57,9B
58,5Y
59,5I
60,1R
61,3U
62,1X
63,1R
64,5H
65,6Y
66,9L
67,9N
68,1F
69,8X
70,1U
71,1Z
72,9Y
73,11P
74,7V
75,3X
76,6F
77,5P
78,1N
79,6C
80,2X
81,1N
82,5T
83,9J
84,10U
85,7A
86,3Y
87,5Y
88,12P
89,8W
90,2A
91,12V
92,10M
93,6G
94,5O
95,5N
96,9D
97,9K
98,11D
99,7A
100,5T
101,10Z
102,5Z
103,2S
104,2V
105,10I
106,1H
107,7Q
108,2O
109,12C
110,11O
111,7C
112,4V
113,12Y
114,4Z
115,4B
116,6S
117,7F
118,9U
119,7E
120,2G
121,2C
122,4F
123,5U
124,9O
125,4D
126,2M
127,9W
128,7V
129,12R
130,1D
131,6E
132,8N
133,12Z
134,2V
135,6X
136,4C
137,5O
138,11G
139,1E
140,12N
141,11Q
142,5B
143,4D
144,4S
145,4Y
146,6W
147,9D
148,6J
149,9O
150,10L
151,8E
152,10W
153,11U
154,4U
155,2Y
156,9G
157,8P
158,12C
159,6O
160,9M
161,10B
162,4U
163,10N
164,2Q
165,11S
166,8S
167,11K
168,1I
169,8V
170,6H
171,7B
172,7S
173,11G
174,3K
175,3V
176,6X
177,7Y
178,9D
179,10U
180,10M
181,4D
182,7Y
183,3T
184,5S
185,9L
186,6I
187,12E
188,11B
189,12Y
190,9F
191,6L
192,4A
193,5F
194,4P
195,9V
196,9D
197,10M
198,9H
199,12H
200,2O
201,1M
202,3M
203,7W
204,5T
205,8L
206,1Z
207,9Z
208,7I
209,10I
210,8M
211,6W
212,4G
213,3I
214,2W
215,12O
216,12T
217,8B
218,4M
219,3M
220,5U
221,5B
222,6N
223,1A
224,7H
225,8H
226,4W
227,12Y
228,5N
229,12A
230,9X
231,6N
232,8Y
233,2B
234,2H
235,10K
236,11H
237,11J
238,6I
239,6E
240,12Z
241,1B
242,6O
243,1M
244,2E
245,11V
246,5C
247,10G
248,6C
249,12I
250,5P
251,10U
252,9J
253,1Z
254,11K
255,10U
256,12T
257,5I
258,4B
259,8K
260,11K
261,4B
262,1O
263,7K
264,5G
265,7G
266,3U
267,6Z
268,2W
269,10H
270,2T
271,6Q
272,12A
273,4I
274,12E
275,3T
276,4L
277,3A
278,3T
279,4C
280,1J
281,10O
282,1E
283,5P
284,8N
285,7A
286,6J
287,10J
288,3S
289,8L
290,10S
291,4L
292,4R
293,6C
294,2D
295,11O
296,8G
297,12P
298,1K
299,8J
300,11P
301,3Z
302,6F
303,12L
304,2D
305,4M
306,7L
307,5R
308,11L
309,6P
310,2B
311,3O
312,12D
313,6D
314,10R
315,4S
316,1R
317,12C
318,6D
319,3C
320,7P
321,3R
322,10V
323,2K
324,1E
325,9P
326,8Y
327,1T
328,8M
329,12H
330,9R
331,8G
332,9G
333,3J
334,1V
335,10P
336,6U
337,5I
338,2N
339,6M
340,2W
341,3T
342,9O
343,7U
344,9Z
345,1F
346,7J
347,6P
348,4H
349,1Q
350,3M
351,3O
352,10Y
353,3X
354,8Z
355,6O
356,5R
357,5H
358,11E
359,4W
360,6D
361,1O
362,10H
363,12C
364,9H
365,5B
366,9T
367,4Q
368,7Z
369,10T
370,4C
371,7N
372,7F
373,5F
374,7A
375,3I
376,8Y
377,4E
378,11J
379,2X
380,7Y
381,8E
382,1B
383,2F
384,12X
385,6D
386,12E
387,4C
388,3L
389,10L
390,5V
391,5L
392,11B
393,12B
394,11P
395,2D
396,4D
397,11F
398,12F
399,11C
400,10R
401,5G
402,2X
403,7U
404,1F
405,7Q
406,6S
407,11A
408,10I
409,2K
410,12F
411,10J
412,3F
413,10I
414,9G
415,2X
416,12D
417,4O
418,5G
419,9O
420,5X
421,3V
422,6P
423,11Y
424,10F
425,2M
426,8P
427,12E
428,6K
429,7R
430,5P
431,10E
432,5U
433,2L
434,1Y
435,8I
436,5U
437,1E
438,10D
439,8R
440,5V
441,1F
442,12I
443,7Z
444,7K
445,10J
446,6O
447,2I
448,9V
449,8K
450,6R
451,6M
452,12E
453,9T
454,10I
455,8K
456,7Z
457,11V
458,10N
459,2C
460,8V
461,7T
462,8S
463,2O
464,7L
465,5G
466,2D
467,5R
468,1R
469,9M
470,5J
471,6O
472,6T
473,11C
474,3Y
475,1F
476,6J
477,11X
478,3V
479,1D
480,12D
481,3F
482,4I
483,12K
484,10U
485,6Z
486,1B
487,8Q
488,11D
489,1S
490,9E
491,4I
492,8Q
493,3M
494,8F
495,12W
496,5V
497,4G
498,7Q
499,7Z
500,5O
501,10L
502,10J
503,4P
504,1D
505,8B
506,11E
507,10R
508,12U
509,4M
510,6R
511,10Y
512,5E
513,5H
514,12Q
515,1E
516,7V
517,2J
518,11H
519,9G
520,11Y
521,2D
522,7A
523,12K
524,4E
525,10U
526,4T
527,7X
528,10E
529,7V
530,4I
531,4R
532,11Z
533,1J
534,6J
535,10G
536,3Q
537,9D
538,9A
539,1H
540,12F
541,9F
542,5A
543,8T
544,11J
545,4Q
546,11J
547,2H
548,2E
549,9R
550,3X
551,12B
552,10V
553,10Q
554,2I
555,2E
556,2I
557,4C
558,10O
559,4N
560,12T
561,3G
562,2G
563,6N
564,7Y
565,10T
566,1A
567,11E
568,1V
569,4D
570,1A
571,6H
572,3L
573,12K
574,2J
575,7P
576,5U
577,4Q
578,6Y
579,7S
580,11A
581,8L
582,3K
583,12X
584,9H
585,8O
586,4H
587,3H
588,7J
589,9G
590,12M
591,12I
592,2B
593,3L
594,1M
595,12N
596,4M
597,2E
598,9N
599,4V
600,12B
601,2U
602,2X
603,2U
604,8A
605,12J
606,4C
607,11B
608,6V
609,6G
610,11K
611,5C
612,9O
613,11I
614,12U
615,11B
616,11B
617,8S
618,4D
619,6I
620,12M
621,7Y
622,7L
623,4K
624,7K
625,10S
626,6J
627,8X
628,2G
629,8V
630,5T
631,2W
632,10C
633,1J
634,9M
635,9G
636,11M
637,11R
638,1F
639,3G
640,5M
641,2B
642,2Y
643,3Y
644,5W
645,1J
646,8S
647,11O
648,1S
649,4F
650,1N
651,2V
652,8R
653,9F
654,11T
655,3J
656,5G
657,10E
658,4I
659,6N
660,10C
661,7V
662,8T
663,10H
664,10L
665,7T
666,3F
667,10U
668,6S
669,6R
670,10J
671,9K
672,7P
673,3R
674,4P
675,10Z
676,6X
677,9Y
678,6W
679,6B
680,7W
681,6Q
682,1Y
683,4Z
684,10E
685,7P
686,7Q
687,3O
688,12D
689,2W
690,7M
691,12I
692,5D
693,11F
694,9I
695,3J
696,2E
697,10I
698,4M
699,4B
700,4H
701,7V
702,5X
703,12N
704,10G
705,5Y
706,4X
707,9B
708,5V
709,11L
710,9C
711,10E
712,8I
713,1M
714,7P
715,3X
716,11B
717,4M
718,5K
719,7E
720,7Y
721,9Y
722,9I
723,9P
724,4L
725,12L
726,1R
727,6J
728,11A
729,10J
730,5F
731,2M
732,6C
733,3S
734,1B
735,10J
736,10F
737,2I
738,12E
739,11F
740,4Y
741,1G
742,10O
743,8O
744,9K
745,7K
746,1B
747,1W
748,10K
749,12O
750,5I
751,12Q
752,9H
753,12Y
754,3I
755,7K
756,1F
757,10H
758,9N
759,8V
760,9X
761,5T
762,11N
763,7G
764,2Z
765,9K
766,9T
767,6R
768,4M
769,7D
770,6Y
771,4R
772,6Z
773,9G
774,2M
775,8K
776,4X
777,7A
778,3F
779,11O
780,12A
781,5S
782,4V
783,7J
784,2L
785,8Z
786,10N
787,2E
788,2Q
789,10D
790,3G
791,5O
792,9Q
793,6N
794,3C
795,10I
796,9L
797,10J
798,3Q
799,11D
800,12D
801,10U
802,4I
803,6M
804,8S
805,3S
806,9W
807,5T
808,9P
809,5I
810,3H
811,8N
812,8M
813,5Q
814,11K
815,4A
816,9O
817,11Z
818,10J
819,10F
820,1E
821,7I
822,9K
823,11G
824,6Y
825,6K
826,3K
827,12J
828,9G
829,7I
830,2T
831,1I
832,9J
833,2B
834,5P
835,5Y
836,10O
837,11P
838,9F
839,4C
840,12A
841,10T
842,9M
843,12U
844,7S
845,9B
846,8R
847,6R
848,1J
849,12H
850,11W
851,9M
852,12L
853,9F
854,2L
855,3X
856,11A
857,12Q
858,3G
859,7L
860,6V
861,4M
862,6X
863,7A
864,11E
865,8H
866,11H
867,5I
868,7K
869,11K
870,5C
871,2O
872,6E
873,3W
874,2G
875,10X
876,10H
877,4A
878,2W
879,8Y
880,2I
881,3E
882,5F
883,1I
884,5D
885,1H
886,5V
887,12W
888,7R
889,10O
890,4M
891,9I
892,4X
893,1Z
894,4H
895,12G
896,10J
897,7P
898,1Z
899,11W
900,3H
901,6H
902,11G
903,10I
904,2B
905,10R
906,7W
907,1Z
908,7X
909,11D
910,9S
911,3K
912,11S
913,8R
914,6V
915,1D
916,10N
917,3Y
918,2U
919,9X
920,3F
921,3K
922,4F
923,5H
924,2Q
925,2E
926,3M
927,11E
928,12P
929,4R
930,11R
931,5J
932,7P
933,1I
934,10L
935,6S
936,7L
937,6B
938,6V
939,3Z
940,5Z
941,1V
942,6K
943,11T
944,10L
945,6R
946,12V
947,9D
948,9Q
949,2X
950,1I
951,8O
952,9C
953,10T
954,7Y
955,4R
956,6G
957,3R
958,12L
959,7Y
960,9A
961,6C
962,3G
963,5P
964,5K
965,12B
966,10J
967,10W
968,8N
969,4Q
970,12I
971,12D
972,9K
973,6S
974,9A
975,2L
976,3K
977,5E
978,2Z
979,3P
980,11W
981,10X
982,4T
983,9R
984,5K
985,6Y
986,2E
987,1M
988,11Z
989,6T
990,5F
991,10G
992,1E
993,10D
994,5Y
995,12S
996,5G
997,3J
998,3D
999,1D
1000,2M
1001,10F
1002,7B
1003,6L
1004,12T
1005,8U
1006,1V
1007,6H
1008,6B
1009,4O
1010,12B
1011,8K
1012,11G
1013,11A
1014,12Y
1015,1B
1016,7F
1017,12E
1018,3V
1019,5X
1020,12K
1021,6B
1022,1A
1023,11O
1024,1F
1025,10X
1026,9E
1027,1V
1028,2M
1029,8G
1030,9S
1031,11P
1032,4S
1033,10J
1034,12T
1035,2L
1036,12O
1037,11Y
1038,2B
1039,1F
1040,1E
1041,5I
1042,3E
1043,5V
1044,6I
1045,6C
1046,5X
1047,3X
1048,12D
1049,12A
1050,10P
1051,6Y
1052,2B
1053,11Y
1054,1H
1055,8L
1056,7Y
1057,4U
1058,5A
1059,9C
1060,10X
1061,12T
1062,12S
1063,3S
1064,10D
1065,4B
1066,6L
1067,1O
1068,7Y
1069,12C
1070,5W
1071,11X
1072,9A
1073,2J
1074,7K
1075,8L
1076,5G
1077,7M
1078,2P
1079,8E
1080,4M
1081,5H
1082,2P
1083,3M
1084,1O
1085,10O
1086,10R
1087,3I
1088,6C
1089,11M
1090,12X
1091,6Y
1092,7S
1093,12B
1094,10W
1095,8G
1096,6Q
1097,3Q
1098,5P
1099,1D
1100,1D
1101,11C
1102,9K
1103,12S
1104,9R
1105,1B
1106,8C
1107,7Q
1108,5F
1109,5K
1110,4E
1111,9C
1112,9E
1113,4B
1114,12U
1115,9D
1116,2S
1117,2P
1118,5S
1119,3S
1120,8Y
1121,4R
1122,3R
1123,3M
1124,3T
1125,4U
1126,3S
1127,11R
1128,4U
1129,7S
1130,11M
1131,1X
1132,9A
1133,8U
1134,3C
1135,9F
1136,6P
1137,9F
1138,8O
1139,2Z
1140,8Z
1141,11U
1142,11V
1143,4O
1144,4E
1145,8U
1146,4O
1147,11X
1148,8W
1149,6G
1150,5T
1151,2W
1152,9F
1153,12H
1154,3Z
1155,1Q
1156,7Q
1157,10S
1158,10V
1159,11V
1160,9Y
1161,6R
1162,10Q
1163,4A
1164,12H
1165,8I
1166,12X
1167,9L
1168,1U
1169,8C
1170,10J
1171,3V
1172,2T
1173,12Y
1174,12J
1175,1E
1176,12T
1177,10A
1178,10X
1179,9G
1180,12A
1181,8Q
1182,9C
1183,3W
1184,11D
1185,10Y
1186,4T
1187,5Y
1188,10G
1189,3S
1190,4D
1191,5G
1192,3M
1193,3W
1194,2U
1195,9X
1196,6G
1197,9E
1198,1E
1199,8H
1200,9E
1201,2D
1202,2N
1203,9R
1204,11R
1205,3S
1206,11V
1207,12B
1208,11L
1209,1X
1210,3E
1211,7P
1212,10B
1213,10G
1214,1P
1215,12P
1216,8Z
1217,4G
1218,5T
1219,8P
1220,4J
1221,12R
1222,3C
1223,11S
1224,1M
1225,6I
1226,2M
1227,6B
1228,8J
1229,7Q
1230,3I
1231,5G
1232,4W
1233,5P
1234,6W
1235,7X
1236,10J
1237,1O
1238,9Q
1239,9E
1240,9F
1241,10G
1242,4A
1243,6S
1244,6J
1245,1T
1246,6A
1247,5J
1248,1K
1249,12X
1250,6A
1251,1K
1252,5E
1253,4U
1254,1G
1255,12E
1256,5Q
1257,1E
1258,1J
1259,4L
1260,2R
1261,5Z
1262,8Z
1263,10V
1264,5H
1265,9V
1266,5L
1267,4E
1268,11K
1269,10K
1270,7J
1271,3C
1272,1N
1273,6I
1274,10X
1275,8N
1276,4G
1277,6J
1278,4M
1279,11A
1280,12O
1281,7R
1282,11G
1283,9B
1284,5D
1285,4M
1286,6B
1287,1S
1288,4D
1289,1J
1290,4E
1291,7N
1292,10C
1293,3M
1294,5H
1295,11Y
1296,2C
1297,2B
1298,11V
1299,5T
1300,5K
1301,4C
1302,1L
1303,12D
1304,3W
1305,10R
1306,10E
1307,7C
1308,7H
1309,3N
1310,9G
1311,5C
1312,3O
1313,12E
1314,8X
1315,8O
1316,5K
1317,5U
1318,1J
1319,1W
1320,10S
1321,7X
1322,8J
1323,2A
1324,5K
1325,11Q
1326,6M
1327,4F
1328,2S
1329,2I
1330,12X
1331,3Y
1332,2L
1333,5E
1334,4K
1335,12V
1336,4E
1337,3W
1338,4G
1339,4N
1340,1V
1341,7K
1342,6L
1343,7J
1344,8P
1345,6F
1346,2N
1347,3N
1348,4Q
1349,2O
1350,7Q
1351,12C
1352,3A
1353,3D
1354,1J
1355,7B
1356,5O
1357,3U
